,variant_name,len_Data,variant
35,varinat_35,90,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
36,varinat_36,88,"('NEW', 'CHANGE DIAGN', 'FIN')"
37,varinat_37,81,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
38,varinat_38,79,"('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
39,varinat_39,74,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'BILLED')"
40,varinat_40,73,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'DELETE')"
41,varinat_41,69,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'DELETE')"
42,varinat_42,68,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'DELETE')"
43,varinat_43,64,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
44,varinat_44,61,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')"
45,varinat_45,60,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED')"
46,varinat_46,58,"('NEW', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
47,varinat_47,55,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
48,varinat_48,54,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
49,varinat_49,48,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
50,varinat_50,44,"('NEW', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
51,varinat_51,43,"('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
52,varinat_52,39,"('NEW', 'FIN', 'RELEASE', 'SET STATUS')"
53,varinat_53,39,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'DELETE')"
54,varinat_54,38,"('NEW', 'FIN', 'RELEASE', 'CODE OK')"
55,varinat_55,37,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
56,varinat_56,37,"('NEW', 'FIN', 'REOPEN', 'DELETE')"
57,varinat_57,36,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'CODE NOK', 'BILLED')"
58,varinat_58,35,"('NEW', 'FIN', 'RELEASE', 'REOPEN', 'DELETE')"
59,varinat_59,34,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'SET STATUS')"
60,varinat_60,33,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK', 'CODE OK')"
61,varinat_61,32,"('NEW', 'CHANGE DIAGN', 'FIN', 'DELETE')"
62,varinat_62,31,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'SET STATUS')"
63,varinat_63,31,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK')"
64,varinat_64,28,"('NEW', 'NEW', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT')"
65,varinat_65,28,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
66,varinat_66,28,"('NEW', 'CHANGE DIAGN', 'FIN', 'SET STATUS')"
67,varinat_67,27,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
68,varinat_68,27,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'CODE OK')"
69,varinat_69,26,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'CODE OK', 'BILLED')"
70,varinat_70,26,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
71,varinat_71,25,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
72,varinat_72,23,"('NEW', 'NEW')"
73,varinat_73,22,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED', 'STORNO', 'BILLED')"
74,varinat_74,21,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
75,varinat_75,19,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
76,varinat_76,19,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
77,varinat_77,19,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
78,varinat_78,18,"('NEW', 'CHANGE DIAGN')"
79,varinat_79,18,"('NEW', 'FIN', 'RELEASE', 'MANUAL', 'BILLED')"
80,varinat_80,18,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'CODE OK', 'BILLED')"
81,varinat_81,17,"('NEW', 'NEW', 'CHANGE DIAGN', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED')"
82,varinat_82,17,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'SET STATUS')"
83,varinat_83,16,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
84,varinat_84,16,"('NEW', 'FIN', 'RELEASE', 'FIN', 'RELEASE', 'BILLED')"
85,varinat_85,16,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
86,varinat_86,16,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
87,varinat_87,16,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'DELETE')"
88,varinat_88,15,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
89,varinat_89,15,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'EMPTY')"
90,varinat_90,15,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'DELETE')"
91,varinat_91,15,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
92,varinat_92,15,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'DELETE')"
93,varinat_93,15,"('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'DELETE')"
94,varinat_94,15,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'BILLED')"
95,varinat_95,14,"('NEW', 'FIN', 'RELEASE', 'MANUAL')"
96,varinat_96,13,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE OK', 'BILLED')"
97,varinat_97,13,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
98,varinat_98,13,"('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
99,varinat_99,13,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE')"
100,varinat_100,12,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
101,varinat_101,12,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
102,varinat_102,12,"('NEW', 'NEW', 'DELETE')"
103,varinat_103,12,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
104,varinat_104,12,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'MANUAL', 'RELEASE', 'CODE OK', 'BILLED')"
105,varinat_105,12,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
106,varinat_106,11,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
107,varinat_107,11,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
108,varinat_108,11,"('NEW', 'FIN', 'RELEASE', 'EMPTY')"
109,varinat_109,10,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
110,varinat_110,10,"('NEW', 'FIN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
111,varinat_111,10,"('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
112,varinat_112,10,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
113,varinat_113,10,"('NEW', 'FIN', 'RELEASE', 'CODE NOK')"
114,varinat_114,10,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'SET STATUS')"
115,varinat_115,10,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
116,varinat_116,10,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'SET STATUS')"
117,varinat_117,10,"('NEW', 'SET STATUS')"
118,varinat_118,9,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
119,varinat_119,8,"('NEW', 'NEW', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'RELEASE', 'CODE OK', 'BILLED', 'BILLED', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT', 'JOIN-PAT')"
120,varinat_120,8,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'CHANGE DIAGN', 'DELETE')"
121,varinat_121,8,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
122,varinat_122,8,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
123,varinat_123,8,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK')"
124,varinat_124,8,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
125,varinat_125,8,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
126,varinat_126,8,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
127,varinat_127,8,"('NEW', 'NEW', 'NEW', 'DELETE')"
128,varinat_128,8,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'CODE OK')"
129,varinat_129,7,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'EMPTY')"
130,varinat_130,7,"('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
131,varinat_131,7,"('NEW', 'CHANGE DIAGN', 'SET STATUS')"
132,varinat_132,7,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
133,varinat_133,7,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')"
134,varinat_134,7,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'CODE OK', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
135,varinat_135,7,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
136,varinat_136,7,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
137,varinat_137,7,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
138,varinat_138,7,"('NEW', 'FIN', 'RELEASE', 'BILLED', 'MANUAL')"
139,varinat_139,7,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'SET STATUS')"
140,varinat_140,6,"('NEW', 'NEW', 'NEW', 'NEW', 'DELETE')"
141,varinat_141,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
142,varinat_142,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
143,varinat_143,6,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'BILLED')"
144,varinat_144,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
145,varinat_145,6,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')"
146,varinat_146,6,"('NEW', 'FIN', 'RELEASE', 'FIN', 'RELEASE', 'CODE NOK', 'BILLED')"
147,varinat_147,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
148,varinat_148,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'SET STATUS')"
149,varinat_149,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'DELETE')"
150,varinat_150,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
151,varinat_151,6,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE ERROR', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE NOK', 'CODE OK', 'BILLED')"
152,varinat_152,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'CODE OK', 'BILLED', 'CODE OK')"
153,varinat_153,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'RELEASE', 'CODE OK', 'BILLED')"
154,varinat_154,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
155,varinat_155,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
156,varinat_156,6,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
157,varinat_157,5,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
158,varinat_158,5,"('NEW', 'CHANGE END', 'DELETE')"
159,varinat_159,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
160,varinat_160,5,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED')"
161,varinat_161,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
162,varinat_162,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
163,varinat_163,5,"('NEW', 'FIN', 'RELEASE', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
164,varinat_164,5,"('NEW', 'NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
165,varinat_165,5,"('NEW', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
166,varinat_166,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED', 'STORNO', 'REJECT', 'BILLED', 'STORNO', 'REJECT', 'BILLED')"
167,varinat_167,5,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
168,varinat_168,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'MANUAL', 'CODE OK', 'MANUAL')"
169,varinat_169,5,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'CODE OK', 'BILLED')"
170,varinat_170,5,"('NEW', 'FIN', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
171,varinat_171,5,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'FIN', 'RELEASE', 'CODE NOK', 'REOPEN', 'DELETE')"
172,varinat_172,5,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'REOPEN', 'DELETE')"
173,varinat_173,5,"('NEW', 'CHANGE END', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
174,varinat_174,4,"('NEW', 'CHANGE DIAGN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK')"
175,varinat_175,4,"('NEW', 'FIN', 'RELEASE', 'CODE NOK', 'EMPTY', 'DELETE')"
176,varinat_176,4,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'REOPEN', 'FIN', 'REOPEN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED')"
177,varinat_177,4,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'CODE OK', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED')"
178,varinat_178,4,"('NEW', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'BILLED')"
179,varinat_179,4,"('NEW', 'FIN', 'RELEASE', 'MANUAL', 'MANUAL', 'BILLED')"
180,varinat_180,4,"('NEW', 'CHANGE DIAGN', 'CHANGE DIAGN', 'FIN', 'RELEASE', 'CODE OK', 'BILLED', 'STORNO', 'REJECT', 'RELEASE', 'CODE OK', 'BILLED')"
181,varinat_181,4,"('NEW', 'FIN', 'RELEASE', 'CODE OK', 'CODE NOK', 'CODE OK', 'CODE OK', 'BILLED')"
